código,clave,descripción
45173,CV-D2,"Dado para termofusora de 3/4' (25 mm), FOSET"
45174,CV-D3,"Dado para termofusora de 1' (32 mm), FOSET"
45177,RIM-91N,"Mezcladora lavabo taladros separados, satín, FOSET RIVIERA"
45178,RIM-92N,"Monomando a pared para lavabo, satín, FOSET RIVIERA"
45179,RIM-45N,"Monomando corto para lavabo, satín, FOSET RIVIERA"
45180,RIM-46N,"Monomando alto para lavabo, satín, FOSET RIVIERA"
45181,RIM-81N,"Mezcladora cuello alto para fregadero, satín, FOSET RIVIERA"
45182,RIM-83N,"Monomando cuello alto para fregadero, satín, FOSET RIVIERA"
45183,RIM-82N,"Monomando retráctil para fregadero, satín, FOSET RIVIERA"
45184,RIM-84N,"Monomando nariz flexible para fregadero, satín,FOSET RIVIERA"
45185,RIM-72N,"Monomando para regadera con desviador, satín, RIVIERA"
45186,RIM-51N,"Salida de tina sin desviador, satín, FOSET RIVIERA"
45187,RIM-52N,"Mezcladora para tina romana, satín, FOSET RIVIERA"
45188,RIM-91,"Mezcladora lavabo taladros separados, cromo, FOSET RIVIERA"
45189,RIM-92,"Monomando a pared para lavabo, cromo, FOSET RIVIERA"
45190,RIM-45,"Monomando corto para lavabo, cromo, FOSET RIVIERA"
45191,RIM-46,"Monomando alto para lavabo, cromo, FOSET RIVIERA"
45192,RIM-81,"Mezcladora cuello alto para fregadero, cromo, FOSET RIVIERA"
45193,RIM-83,"Monomando cuello alto para fregadero, cromo, FOSET RIVIERA"
45194,RIM-82,"Monomando retráctil para fregadero, cromo, FOSET RIVIERA"
45195,RIM-84,"Monomando nariz flexible para fregadero, cromo,FOSET RIVIERA"
45196,RIM-72,"Monomando para regadera con desviador, cromo, RIVIERA"
45197,RIM-51,"Salida de tina sin desviador, cromo, FOSET RIVIERA"
45198,RIM-52,"Mezcladora para tina romana, cromo, FOSET RIVIERA"
45199,RIM-71,"Monomando para regadera, cromo, RIVIERA"
45200,RIM-71N,"Monomando para regadera, satín, RIVIERA"
45201,RIM-61,"Juego manerales palanca para regadera, cromo, RIVIERA"
45202,RIM-61N,"Juego manerales palanca para regadera, satín, RIVIERA"
45204,RIA-73,"Gancho sencillo de latón acabado cromo para toalla, RIVIERA"
45205,RIA-71,"Portavaso cepillero cromo con vaso de vidrio, FOSET RIVIERA"
45207,RIA-77,"Toallero argolla de latón en acabado cromo, FOSET RIVIERA"
45208,RIA-72,"Portarrollo de latón acabado cromo, FOSET RIVIERA"
45210,RIA-78,"Repisa de latón portatoalla en acabado cromo, FOSET RIVIERA"
45211,RIA-7000,"Juego de 6 accesorios para baño acabado cromo, RIVIERA"
45217,ARB-005S,"Arbotante decorativo cuerpo de ABS, lámpara no incluida"
45218,ARB-302L,"Luminario LED de pared para baño 10W 4000K, barra, VOLTECK"
45219,RIA-73N,"Gancho sencillo de latón acabado satín para toalla, RIVIERA"
45220,RIA-71N,"Portavaso cepillero satín con vaso de vidrio, FOSET RIVIERA"
45222,RIA-77N,"Toallero argolla de latón en acabado satín, FOSET RIVIERA"
45223,RIA-72N,"Portarrollo de latón acabado satín, FOSET RIVIERA"
45225,RIA-78N,"Repisa de latón portatoalla en acabado satín, FOSET RIVIERA"
45226,RIA-7000N,"Juego de 6 accesorios para baño acabado satín, RIVIERA"
45228,CEP-21PJC,"Jaladera/perilla/cerrojo, Porto llave-mariposa,LatónAntinguo"
45229,CEP-61PJC,"Jaladera/perilla/cerrojo, Porto llave-mariposa, Negro"
45230,CARCE-20,"Juego de 2 cartuchos cerámicos POM, FOSET"
45231,CARMO-20,"Cartucho cerámico para monomando lavabo y fregadero, FOSET"
45232,CARMO-21,"Cartucho cerámico monomando para regadera, FOSET"
45233,AR-001,"Aireador conexión hembra para cuello de mezcladora, FOSET"
45237,AEMM-01,"Juego 2 manerales palanca para mezcladora lavabo,cromo, AERO"
45238,AEMM-02,"Juego 2 manerales palanca lavabo/fregadero, cromo, AERO"
45239,AEMM-03,"Maneral palanca para monomando lavabo AEM-44, cromo, AERO"
45240,AEMM-04,"Maneral palanca para monomando fregadero AEF-82, cromo, AERO"
45241,AEMM-05,"Maneral palanca para monomando fregadero AEF-83, cromo, AERO"
45242,AEMM-06,"Maneral palanca para monomando regadera AEM-71, cromo, AERO"
45243,CALE-38D-N,"Calentador de depósito, 38L, 1 servicio, gas natural, FOSET"
45247,CALE-9P-EN,"Calentador de paso, electrónico, 9L, 2 serv, gas nat, FOSET"
45248,FILA-P2,"Filtro de sedimentos Jumbo para agua, FOSET"
45250,ELMM-01,"Juego manerales palanca para mezcladora, cromo, ELEMENT"
45251,ELMM-02,"Juego manerales palanca para mezcladora bar, cromo, ELEMENT"
45252,ELMM-05,"Maneral palanca para monomando de lavabo, cromo, ELEMENT"
45253,ELMM-06,"Maneral palanca para monomando de fregadero, cromo, ELEMENT"
45254,ELMM-07,"Juego manerales mezcladora de pared, lavabo, cromo, ELEMENT"
45255,ELMM-01N,"Juego manerales palanca para mezcladora, satín, ELEMENT"
45256,ELMM-02N,"Juego manerales palanca para mezcladora bar, satín, ELEMENT"
45257,ELMM-05N,"Maneral palanca para monomando de lavabo, satín, ELEMENT"
45258,ELMM-06N,"Maneral palanca para monomando de fregadero, satín, ELEMENT"
45259,ELMM-07N,"Juego manerales mezcladora de pared, lavabo, satín, ELEMENT"
45260,MR-100B,"Juego de 2 manerales metálicos para regadera, en blíster"
45261,CV-401,"Curva 90° de PPR, 1/2' (20mm), FOSET"
45262,CV-402,"Curva 90° de PPR, 3/4' (25mm), FOSET"
45263,CV-571,"Codo 90° PPR reducido,  3/4' x 1/2', FOSET"
45264,CV-582,"Codo oreja 90° PPR, 3/4', hembra con inserto metálico, FOSET"
45265,CV-591,"Codo oreja 90° PPR,  1/2', macho con inserto metálico, FOSET"
45266,CV-592,"Codo oreja 90° PPR,  3/4', macho con inserto metálico, FOSET"
45267,CALE-38D,"Calentador de depósito, 38L, 1 servicio, gas LP, FOSET"
45270,CALE-10S,"Calentador solar de agua 10 tubos, 120L, 3 personas, FOSET"
45271,CALE-6I,"Calentador instantáneo, 6L, 1 servicio, gas LP, FOSET"
45272,CALE-15S,"Calentador solar de agua, 15 tubos, 185 L, 5 personas, FOSET"
45273,CALE-20S,"Calentador solar de agua, 20 tubos, 240L, 7 personas, FOSET"
45274,CALE-8S,"Calentador solar de agua, 8 tubos, 94L, 2 personas, FOSET"
45276,CALE-TUB,"Tubo de repuesto para calentador solar, FOSET"
45281,CARMO-22,"Cartucho cerámico monomando para lavabo, FOSET"
45282,CARMO-23,"Cartucho cerámico monomando, FOSET"
45283,CE-206N,"Contra para lavabo, con rebosadero, sistema push, satín"
45285,CARMO-24,"Cartucho cerámico para monomando fregadero, FOSET RIVIERA"
45289,RIMM-01,"Juego manerales palanca para mezcladora, cromo, RIVIERA"
45290,RIMM-01N,"Juego manerales palanca para mezcladora, satín, RIVIERA"
45291,RIMM-02,"Juego manerales palanca para mezcladora tina, cromo, RIVIERA"
45292,RIMM-02N,"Juego manerales palanca para mezcladora tina, satín, RIVIERA"
45293,RIMM-03,"Maneral palanca para monomandos, cromo, RIVIERA"
45294,RIMM-03N,"Maneral palanca para monomandos, satín, RIVIERA"
45299,ESRO-1XA,"Válvula de esfera para gas, roscable, 1', alta presión"
45302,CO-49,"Coladera de hierro pretil para azotea, FOSET"
45308,VW-058,"Juego accesorios para WC, 2' flotador compacto alt ajustable"
45309,VW-059,"Juego de accesorios para WC, 3' altura ajustable, FOSET"
45310,FWC-35B,"Manguera p/WC, vinilo blanco, 1/2' x 7/8', 35 cm"
45311,FWC-P35B,"Manguera p/WC, vinilo blanco, 1/2x7/8', 35cm, plástico/latón"
45314,FWC-50B,"Manguera p/WC, vinilo blanco, 1/2' x 7/8', 50 cm"
45315,FWC-60B,"Manguera p/WC, vinilo blanco, 1/2' x 7/8', 60 cm"
45317,CE-296,"Céspol semi rígido de PP, para lavabo o fregadero, FOSET"
45319,CED-12,Céspol flexible doble sin contracanastas
45323,RS-703M,"Resumidero reversible 4', anti olores, acero inox, negro, AQ"
45324,RS-704M,"Resumidero rectangular 30x11cm reversible, negro, FOSET AQUA"
45328,CALLA-12C,"Caja de combinación guardallaves para pared, 12cm, HERMEX"
45329,ESRO-2XA,"Válvula de esfera para gas, roscable, 2', alta presión"
45333,CEMA-23R,"Cerradura manija 'Módena' p/recámara, cromo mate, HERMEX"
45334,CEMA-23B,"Cerradura manija 'Módena' p/baño, cromo mate, HERMEX"
45335,CEMA-26R,"Cerradura manija 'Módena' p/recámara, negro mate, HERMEX"
45337,CEMA-26B,"Cerradura manija 'Módena' p/baño, negro mate, HERMEX"
45338,BAT-1245,"Batería sellada de ácido-plomo 12 Vcc 4.5 Ah, VOLTECK"
45339,BAT-1270,"Batería sellada de ácido-plomo 12 Vcc 7 Ah, VOLTECK"
45344,BAT-1290,"Batería sellada de ácido-plomo 12 Vcc 9 Ah, VOLTECK"
45345,TIR-10NL,"Tira flex LED neón 11 W para interior y exterior, 5 m, RGB"
45355,AQM-51G,"Mezcladora lavabo 4' cromo-oro, nariz curva, cruceta, AQUA"
45356,AQM-52N,"Mezcladora lavabo 4' satín, nariz curva, palanca, AQUA"
45357,AQM-52M,"Mezcladora lavabo 4' negro, nariz curva, palanca, AQUA"
45361,TIR-01NL,"Tira flex LED neón 11 W para interior y exterior, 5 m blanco"
45362,TIR-02NL,"Tira flex LED neón 14 W para interior y exterior, 5 m, ámbar"
45363,ERA-15X16C,"Extensión reforzada aterrizada, 15 m en carrete, calibre 16"
45367,TER-580C,"Estuche con 580 piezas de tubo termocontráctil, VOLTECK"
45368,TER-25C,"Bolsa con 25 piezas de tubo termocontráctil, VOLTECK"
45373,CC-3412D,"Abrazadera con derivación 3/4x1/2x3/4', FOSET"
45379,ESSO-1XA,"Válvula de esfera para gas, soldable, 1', alta presión"
45380,AQCR-82,"Cabezal dirigible para mezcladora de fregadero, cromo, AQUA"
45381,AQCR-82N,"Cabezal dirigible para mezcladora de fregadero, satín, AQUA"
45385,AQCR-82M,"Cabezal dirigible para mezcladora de fregadero, negro, AQUA"
45391,POPL-18,"Bolsa 2 pz portalámparas p/tubo LED y fluorescente, base G5"
45392,PW-025,"Palanca frontal metálica cromada minimalista para WC, FOSET"
45393,PW-026,"Palanca frontal metálica cromada clásica para WC, FOSET"
45397,PW-017,"Palanca frontal plástica blanca para WC, FOSET"
45398,PW-027,"Palanca frontal metálica cromada robusta para WC, FOSET"
45403,ANG-02P,"Llave angular 1/2', multivuelta, roscable, BASIC"
45404,ANG-03P,"Llave angular 1/2', multivuelta, barrilito, BASIC"
45408,ARB-210S,"Arbotante exterior con 2 spots, lámparas no incluidas, negro"
45409,ARB-211S,"Arbotante exterior con 2 spots, lámparas no incluida, gris"
45438,CAME-75,"Campana extractora 75cm, empotrable, acero inoxidable, FOSET"
45439,CAME-50,"Campana extractora 50cm, empotrable, acero inoxidable, FOSET"
45440,CAME-75M,"Campana extractora 75 cm, empotrable, negra, FOSET"
45441,CAME-50M,"Campana extractora 50 cm, empotrable, negra, FOSET"
45443,VGH-557,"Válvula horizontal de latón 1/8' gas LP, alta presión, FOSET"
45446,CV-006,"Tubo de 63mm (2') PPR hidráulico, 4m, 5.4kg, FOSET"
45449,CV-266,"Cople de PPR, 2' (63mm), FOSET"
45452,CV-616,"Adaptador PPR 2' macho con inserto metálico, FOSET"
45455,CV-606,"Adaptador PPR 2' hembra con inserto metálico, FOSET"
45458,CV-366,"Tapón de PPR 2', FOSET"
45461,CV-566,"Codo 90° PPR,  2', FOSET"
45462,CV-864,"Codo 45° de PPR, 1-1/4' (40mm), FOSET"
45463,CV-865,"Codo 45° de PPR, 1-1/2' (50mm), FOSET"
45464,CV-866,"Codo 45° de PPR, 2' (63mm), FOSET"
45467,CV-766,"Tee sencilla de PPR 2', FOSET"
45475,KWC-50,"Kit de instalación para WC, FOSET"
45476,RD-41,"Rueda de hule sólido 4-1/2' para diablo, un balero, PRETUL"
45477,MUBA-45B,"Taza alargada de porcelana, blanco, FOSET"
45478,RD-51,"Rueda de hule sólido 5' para diablo, un balero, PRETUL"
45479,MUBA-45M,"Taza alargada de porcelana, marfil, FOSET"
45480,RD-62,"Rueda de hule sólido 6' para diablo, doble balero, PRETUL"
45481,RD-61,"Rueda de hule sólido 6' para diablo, un balero, PRETUL"
45482,RD-71,"Rueda de hule sólido 7' para diablo, un balero, PRETUL"
45483,RD-72,"Rueda de hule sólido 7' para diablo, doble balero, PRETUL"
45485,RD-82,"Rueda de hule sólido 8' para diablo, doble balero, PRETUL"
45487,RD-92,"Rueda de hule sólido 9' para diablo, doble balero, PRETUL"
45488,FLA-30XL,"Manguera lavabo/fregadero, acero inox, 1/2' x 3/8', 30 cm"
45489,FLA-40XL,"Manguera lavabo/fregadero, acero inox, 1/2' x 3/8', 40 cm"
45490,FLA-55XL,"Manguera lavabo/fregadero, acero inox, 1/2' x 3/8', 55 cm"
45491,FLA-40VL,"Manguera lavabo/fregadero, vinilo blanco, 1/2' x 3/8',40 cm"
45492,FLA-P40VL,"Manguera lavabo/fregadero,vinilo,1/2'x3/8',40cm, plást/lat"
45497,AWC-45OB,"Asiento alargado p/ WC one piece, cierre lento, blanco, AQUA"
45507,PAE-5F,"Parrilla gas empotrable 75 cm, 5 quemadores, esmalte, FOSET"
45508,PAE-4F,"Parrilla gas empotrable 60 cm, 4 quemadores, esmalte, FOSET"
45509,PAE-2F,"Parrilla gas empotrable 30 cm, 2 quemadores, esmalte, FOSET"
45511,MP-048P,"Mezcladora 4' lavabo, ABS, palanca, BASIC"
45512,MP-050P,"Mezcladora 4' lavabo, ABS, cuello curvo, palanca, BASIC"
45513,MP-060P,"Mezcladora 4' lavabo, ABS, cuello bar, palanca, BASIC"
45514,FP-317P,"Mezcladora 8' fregadero, ABS, cuello corto, palanca, BASIC"
45515,FP-318P,"Mezcladora 8' fregadero, ABS, cuello largo, palanca, BASIC"
45516,FP-319P,"Mezcladora 8' fregadero, ABS, cuello cobra, palanca, BASIC"
45517,FP-319,"Mezcladora 8' fregadero, ABS, cuello cobra, hexagonal, BASIC"
45518,MMP-200,"Juego de manerales de palanca p/lav-fregadero, cromo, BASIC"
45519,TEM-1E,"Temporizador analógico para uso en exteriores, VOLTECK"
45551,CV-521,"Codo 90° PPR,  1/2', macho-hembra, FOSET"
45552,CV-522,"Codo 90° PPR,  3/4', macho-hembra, FOSET"
45553,CV-871,"Codo 45° de PPR, 1/2' (20mm), macho-hembra, FOSET"
45554,CV-872,"Codo 45° de PPR, 3/4' (25mm), macho-hembra, FOSET"
45555,CV-771,"Cruz de PPR, 1/2' (20 mm), FOSET"
45556,CV-961,"Tuerca unión PPR, plástica,  1/2', FOSET"
45557,CV-962,"Tuerca unión PPR, plástica,  3/4', FOSET"
45563,EMP-113S,"Luminario cuadrado blanco spot dirigible,lámpara no incluida"
45564,EMP-114S,"Luminario cuadrado negro spot dirigible, lámpara no incluida"
45565,EMP-115S,"Luminario cuadrado satín spot dirigible, lámpara no incluida"
45566,EMP-110S,"Luminario cuadrado blanco spot fijo, lámpara no incluida"
45567,EMP-111S,"Luminario cuadrado negro spot fijo, lámpara no incluida"
45568,EMP-112S,"Luminario cuadrado satín spot fijo, lámpara no incluida"
45569,EMP-116S,"Luminario cuadrado blanco spot esférico, lámpara no incluida"
45570,EMP-117S,"Luminario cuadrado negro spot esférico, lámpara no incluida"
45571,EMP-118S,"Luminario cuadrado satín spot esférico, lámpara no incluida"
45575,R-204N,"Regadera satín 4' plato redondo, con brazo, FOSET ELEMENT"
45576,R-206N,"Regadera satín 6' plato redondo, con brazo, FOSET ELEMENT"
45577,R-208N,"Regadera satín 8' plato redondo, con brazo, FOSET ELEMENT"
45580,CB-456I,"Cerradura de barra libre, izquierda, negra HERMEX"
45581,R-204SN,"Regadera satín 4' plato redondo, sin brazo, FOSET ELEMENT"
45582,R-206SN,"Regadera satín 6' plato redondo, sin brazo, FOSET ELEMENT"
45583,R-208SN,"Regadera satín 8' plato redondo, sin brazo, FOSET ELEMENT"
45584,CB-456D,"Cerradura de barra libre, derecha, negra, HERMEX"
45585,MUL-16100,Barra Multicontactos 16 entradas con supresor de picos 1000J
45587,BCH-200N,"Brazo y chapetón para regadera, latón, satín, ELEMENT"
45588,BCH-700N,"Brazo y chapetón para regadera, 30 cm, satín, ELEMENT"
45589,BCH-710N,"Brazo y chapetón para regadera techo, satín, ELEMENT"
45593,PA-APSE3-EB,"Placa armada 1 interruptor, 3 módulos, Española, blanco"
45594,PA-APCO-E3B,"Placa armada 1 interruptor, 2 contactos,1mod,Española,blanco"
45595,PA-APDO15-EB,"Placa armada 2 interruptores, 1.5 módulos, Española, blanco"
45596,PA-APDO1-EB,"Placa armada 2 interruptores, 1 módulo, Española, blanco"
45597,PA-APCO-E2B,"Placa armada 2 interruptores,1 contacto,1mod,Española,blanco"
45598,PA-COTR-EB,"Placa armada 3 contactos, 1 módulo, Española, blanco"
45599,PA-APTR-EB,"Placa armada 3 interruptores, 1 módulo, Española, blanco"
45601,PA-APDO15-EEB,"Placa armada 2interruptores 1de 3vías,1.5mod,Española blanco"
45602,PA-APDO1-EEB,"Placa armada 2 interruptores 1de 3vías,1 mod,Española,blanco"
45603,COUSB-EB,"Placa armada 1contacto, 2puertos USB, 1.5mod,Española,blanco"
45606,PA-APTR-EEB,"Placa armada 3 interruptores 1de 3vías,1 mod,Española,blanco"
45608,F-317-C,"Mezcladora 8' fregadero cromo, cuello corto,compresión,BASIC"
45609,F-317P,"Mezcladora 8' fregadero cromo, cuello corto, palanca, BASIC"
45610,F-317I,"Mezcladora 8' fregadero cromo, cuello corto, cono, BASIC"
45611,F-317E,"Mezcladora 8' fregadero cromo, cuello corto, cruceta, BASIC"
45612,F-318E,"Mezcladora 8' fregadero cromo, cuello largo, cruceta, BASIC"
45613,F-319E,"Mezcladora 8' fregadero cromo, cuello cobra, cruceta, BASIC"
45614,F-319-C,"Mezcladora 8' fregadero cromo, cuello cobra,compresión,BASIC"
45615,F-320,"Mezcladora 8' fregadero cromo, cuello curvo,hexagonal, BASIC"
45616,F-320-C,"Mezcladora 8' fregadero cromo, cuello curvo,compresión,BASIC"
45617,F-320A,"Mezcladora 8' fregadero cromo, cuello curvo, acrílico, BASIC"
45618,F-320P,"Mezcladora 8' fregadero cromo, cuello curvo, palanca, BASIC"
45619,F-320I,"Mezcladora 8' fregadero cromo, cuello curvo, cono, BASIC"
45620,F-320E,"Mezcladora 8' fregadero cromo, cuello curvo, cruceta, BASIC"
45622,AQM-62N,"Mezcladora lavabo 4' satín, tipo bar, palanca, AQUA"
45623,AQM-62M,"Mezcladora lavabo 4' negro, tipo bar, palanca, AQUA"
45624,AQF-82N,"Mezcladora fregadero 8' satín, cuello largo, palanca, AQUA"
45625,AQF-82M,"Mezcladora fregadero 8' negro, cuello largo, palanca, AQUA"
45626,AQF-89,"Mezcladora fregadero 8' cromo, cuello cobra, cruceta, AQUA"
45627,AQF-90,"Mezcladora fregadero 8' cromo, cuello cobra, palanca, AQUA"
45628,AQF-93,"Mezcladora fregadero 8' cromo, cuello largo, hexagonal, AQUA"
45629,AQF-94,"Mezcladora fregadero 8' cromo, cuello cobra, hexagonal, AQUA"
45632,BR-106,"Bisagra rectangular 1' negra, HERMEX"
45634,BR-206,"Bisagra rectangular 2' negra, HERMEX"
45636,BR-306,"Bisagra rectangular 3' negra, HERMEX"
45637,BR-356,"Bisagra rectangular 3-1/2' negra, HERMEX"
45638,BR-406,"Bisagra rectangular 4' negra, HERMEX"
45639,JAL-0961,"Jaladera de 96mm, línea Andamio, negro, HERMEX"
45640,JAL-0962,"Jaladera de 128mm, línea Andamio, negro, HERMEX"
45641,JAL-0161,"Jaladera de 96mm, línea Contempo, negro, HERMEX"
45642,JAL-0162,"Jaladera de 128mm, línea Contempo, negro, HERMEX"
45643,JAL-0261,"Jaladera de 96mm, línea Arco, negro, HERMEX"
45644,JAL-0262,"Jaladera de 128mm, línea Arco, negro, HERMEX"
45645,JAL-0761,"Jaladera de 128mm, línea Moderna, negro, HERMEX"
45646,JAL-0762,"Jaladera de 160mm, línea Moderna, negro, HERMEX"
45647,JAL-0763,"Jaladera de 224mm, línea Moderna, negro, HERMEX"
45648,PER-096,"Perilla estilo 'Andamio' acabado negro, HERMEX"
45649,PER-036,"Perilla estilo 'Cilindro' acabado negro, HERMEX"
45650,PER-016,"Perilla estilo 'Contempo' acabado negro, HERMEX"
45651,PER-026,"Perilla estilo 'Arco' acabado negro, HERMEX"
45652,PER-076,"Perilla estilo 'Moderno' acabado negro, HERMEX"
45669,EMP-800L,"Luminario LED plafón 6W 6500K, ajustable, cuadrado, VOLTECK"
45670,EMP-801L,"Luminario LED plafón 8W 6500K, ajustable, cuadrado, VOLTECK"
45671,EMP-802L,"Luminario LED plafón 15W 6500K, ajustable, cuadrado, VOLTECK"
45672,SOC-10NS,"Socket colgante metálico, negro, VOLTECK"
45673,SOC-10HS,"Socket colgante metálico, hierro antiguo, VOLTECK"
45674,SOC-10SS,"Socket colgante metálico, satín, VOLTECK"
45675,DBF-9,"Detector de billetes falsos con doble lámpara, VOLTECK"
45677,PACA-6,"Pasador con cadena para puerta, acabado negro, HERMEX"
45678,PAAB-6,"Pasador abatible para puerta, acabado negro, HERMEX"
45679,FIPU-6,"Fijapuerta metálico, acabado negro, HERMEX"
45680,TOCO-6,"Tope tipo codo para puerta, acabado negro, HERMEX"
45681,BR-100B ,"Bolsa con 2 bisagras rectangulares 1', acero pulido"
45685,BR-300B,"Bolsa con 2 bisagras rectangulares 3', acero pulido"
45687,BR-400B,"Bolsa con 2 bisagras rectangulares 4', acero pulido"
45688,BR-101B,"Bolsa con 2 bisagras rectangulares 1', acero latonado"
45690,BR-401B,"Bolsa con 2 bisagras rectangulares 4', acero latonado"
45691,TODO-6,"Tope tipo domo para puerta, acabado negro, HERMEX"
45698,CE-226S,"Contra para lavabo, sin rebosadero, tipo hongo, cromo"
45699,CE-226SN,"Contra para lavabo, sin rebosadero, tipo hongo, satín"
45700,CE-226SM,"Contra para lavabo, sin rebosadero, tipo hongo, negro"
45701,CE-226,"Contra para lavabo, con rebosadero, tipo hongo, cromo"
45702,CE-226N,"Contra para lavabo, con rebosadero, tipo hongo, satín"
45703,CE-226M,"Contra para lavabo, con rebosadero, tipo hongo, negro"
45711,MM-800,"Juego de manerales de cruceta p/lav-fregadero, cromo, BASIC"
45712,CARCE-12,"Bolsa con 2 cartuchos cerámicos para M-048E, 50E, 60E y 70E"
45713,CR-070,"Cuello largo para mezcladora de lavabo, cromo, BASIC"
45715,AQMM-62N,"Juego de manerales tipo palanca p/lav-fregadero, satín AQUA"
45716,AQMM-62M,"Juego manerales de palanca p/lav-fregadero,negro mate AQUA"
45717,CARCE-13,"Bolsa con 2 cartuchos cerámicos p/F-317E, 318E, 319E y 320E"
45718,CR-321,"Cuello alto/curvo para mezcladora de fregadero, cromo, BASIC"
45738,ABP-21B,"Portarrollo junior de ABS, blanco, FOSET BASIC"
45739,ABP-21H,"Portarrollo junior de ABS, humo, FOSET BASIC"
45740,ABP-31B,"Dispensador chico para toallas de papel, blanco, FOSET BASIC"
45741,ABP-31H,"Dispensador chico para toallas de papel, humo, FOSET BASIC"
45742,ABP-11B,"Dosificador para jabón líquido, blanco, FOSET BASIC"
45743,ABP-11H,"Dosificador para jabón líquido, humo, FOSET BASIC"
45744,CTV-40SW,"Cámara WiFi para socket, 4MP, VOLTECK"
45745,TOMA-6,"Tope para puerta magnético, acabado negro, HERMEX"
45747,MUL-682U,"Multicontacto de pared, 800 Joules, 6 contactos y 2 USB A+C"
45748,MUL-352U,"Multicontacto de pared, 490 Joules, 3 contactos y 2 USB A+C"
45749,MUL-302U,"Multicontacto de pared, 3 contactos y 2 USB A+C, VOLTECK"
45751,TORA-152B,"Rollo de malla sombra 80%, raschel beige, 15m x 2m, FIERO"
45754,TORA-154B,"Rollo de malla sombra 80%, raschel beige, 15m x 4m, FIERO"
45757,TORA-152N,"Rollo de malla sombra 90%, raschel negro, 15m x 2m, FIERO"
